"Region","Species","Cscore","Dispersal_syndrome","Dispersal_unit_type","Photo_pathway","Growth_form","Growth_rate","Plant_lifespan_fac","Propagation_type","Resprout","Woodiness","Drought_tol","Fire_tol","Salt_tol","Shade_tol"
"IL","Crataegus pruinosa",3,"animal",NA,"c3","woody",NA,"perennial",NA,NA,"woody",NA,NA,NA,NA
"IL","Crataegus punctata",2,NA,NA,"c3","woody",NA,"perennial",NA,NA,"woody",NA,NA,NA,NA
"IL","Crataegus spathulata",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Crataegus succulenta",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Crataegus viridis",5,"animal",NA,"c3","woody","moderate","perennial",NA,"yes","woody","low","low","low","low"
"IL","Crocanthemum bicknellii",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Crocanthemum canadense",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Crotalaria sagittalis",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Croton capitatus",0,"multi",NA,"c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Croton glandulosus ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Croton michauxii",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Croton monanthogynus",2,"wind",NA,NA,"forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cryptogramma stelleri",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cryptotaenia canadensis",1,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cunila origanoides",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cuphea viscosissima",4,NA,NA,NA,"forb",NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cuscuta campestris",2,"water","seed","c3","forb",NA,"annual",NA,NA,"herbaceous",NA,"low",NA,NA
"IL","Cuscuta cephalanthi",5,NA,NA,"c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cuscuta compacta",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cuscuta coryli",5,NA,NA,"c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cuscuta cuspidata",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cuscuta glomerata",6,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cuscuta gronovii",2,"water","seed","c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cuscuta indecora",5,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cuscuta pentagona",5,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cuscuta polygonorum",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cycloloma atriplicifolium",3,"wind",NA,"c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cynanchum laeve",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cynoglossum virginianum",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cynosciadium digitatum",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cyperus acuminatus",2,NA,NA,NA,"graminoid","fast",NA,NA,"no","herbaceous","medium","low","low","medium"
"IL","Cyperus bipartitus",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cyperus diandrus",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cyperus echinatus",2,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cyperus erythrorhizos",1,NA,NA,NA,"graminoid","fast","annual",NA,"no","herbaceous","low","low","low","low"
"IL","Cyperus esculentus",0,"human","fruit","c4","forb","fast","perennial",NA,"no","herbaceous","low","low","low","low"
"IL","Cyperus filiculmis",5,NA,NA,"c4","graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cyperus flavescens",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cyperus grayoides",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cyperus houghtonii",7,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cyperus lancastriensis",7,NA,NA,NA,"graminoid","moderate","perennial",NA,"no","herbaceous","low","medium","low","low"
"IL","Cyperus odoratus",7,"water",NA,"c4","forb","moderate",NA,NA,"no","herbaceous","low","low","medium","low"
"IL","Cyperus pseudovegetus",5,NA,NA,NA,"forb","moderate","perennial",NA,"no","herbaceous","low","medium","low","low"
"IL","Cyperus schweinitzii",5,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cyperus squarrosus",2,"wind",NA,"c4","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cyperus strigosus",0,NA,NA,NA,"forb","moderate","perennial",NA,"no","herbaceous","low","medium","low","low"
"IL","Cyperus x mesochorus",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cypripedium acaule",10,NA,NA,NA,"forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cypripedium candidum",10,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cypripedium parviflorum",10,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cypripedium pubescens",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cypripedium reginae",10,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cypripedium x andrewsii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cystopteris bulbifera",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cystopteris protrusa",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cystopteris x illinoensis",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cystopteris tennesseensis",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cystopteris  tenuis",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dactylorhiza viridis",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dalea candida",9,"wind",NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Dalea foliosa",10,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Dalea purpurea",8,"wind",NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Danthonia spicata",3,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Dasiphora fruticosa",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dasistoma macrophylla",7,NA,NA,NA,"forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Decodon verticillatus",8,NA,NA,"c3","shrub","fast","perennial",NA,"yes","woody","medium","medium","low","medium"
"IL","Delphinium carolinianum ",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Delphinium tricorne",6,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Dennstaedtia punctilobula",10,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Deparia acrostichoides",10,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Deschampsia cespitosa ",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Descurainia pinnata",7,"self",NA,"c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Desmanthus illinoensis",4,NA,NA,"c3","forb","moderate","perennial",NA,"no","herbaceous","low","low","low","low"
"IL","Desmodium canadense",5,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Desmodium canescens",4,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Desmodium ciliare",7,"wind",NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Desmodium cuspidatum",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Desmodium glabellum",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Desmodium glutinosum",3,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Desmodium illinoense",5,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Desmodium laevigatum",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Desmodium marilandicum",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Desmodium nudiflorum",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Desmodium nuttallii",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Desmodium obtusum",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Desmodium paniculatum",2,NA,NA,"c3","forb","moderate","perennial",NA,"no","herbaceous","medium","low","low","medium"
"IL","Desmodium pauciflorum",8,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Desmodium rotundifolium",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Desmodium sessilifolium",6,"wind",NA,NA,"forb",NA,"perennial",NA,NA,NA,NA,NA,NA,NA
"IL","Diarrhena americana",7,NA,NA,"c3","graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Dicentra canadensis",7,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Dicentra cucullaria",5,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Dichanthelium acuminatum ",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium boreale",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium boscii",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium clandestinum",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium depauperatum",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium dichotomum",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium latifolium",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium laxiflorum",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium leibergii",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium linearifolium",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium malacophyllum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium perlongum",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium polyanthes",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium portoricense",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium ravenelii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium scoparium",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dichanthelium wilcoxianum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dicliptera brachiata",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Didiplis diandra",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Diervilla lonicera",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Digitaria cognata",4,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Digitaria filiformis",4,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Digitaria villosa",4,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Dioclea multiflora",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Diodella teres",2,"wind",NA,NA,"forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Diodia virginiana",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dioscorea villosa",4,NA,NA,NA,"forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Diospyros virginiana",2,"animal",NA,"c3","tree","moderate","perennial",NA,"yes","woody","high","medium","low","high"
"IL","Diplazium pycnocarpon",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dirca palustris",8,"animal",NA,"c3","shrub",NA,NA,NA,NA,"woody",NA,NA,NA,NA
"IL","Doellingeria umbellata",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Draba brachycarpa",2,"wind",NA,NA,"forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Draba cuneifolia",10,"wind",NA,NA,"forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Draba reptans",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Drosera intermedia",10,"water","seed","c3","forb",NA,"perennial","seed and vegetative",NA,"herbaceous","low",NA,"low","low"
"IL","Drosera rotundifolia",10,"water","seed","c3","forb",NA,"perennial","seed and vegetative",NA,"herbaceous","low",NA,NA,"low"
"IL","Drymocallis arguta",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dryopteris carthusiana",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dryopteris celsa",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dryopteris cristata",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dryopteris filix-mas",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dryopteris goldiana",10,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Dryopteris intermedia",7,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Dryopteris marginalis",6,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Dryopteris x boottii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dryopteris clintoniana",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dryopteris x neowherryi",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dryopteris x triploidea",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Dulichium arundinaceum",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Echinacea pallida",7,"wind",NA,"c3","forb","moderate","perennial",NA,"no","herbaceous","low","high","low","low"
"IL","Echinacea purpurea",6,NA,NA,"c3","forb","moderate","perennial",NA,"no","herbaceous","low","medium","low","low"
"IL","Echinochloa muricata",0,NA,"fruit","c3","graminoid",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Echinochloa walteri",5,NA,NA,"c4","forb","moderate","annual",NA,"no","herbaceous","low","medium","medium","low"
"IL","Echinocystis lobata",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Echinodorus berteroi ",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Echinodorus cordifolius",6,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Echinodorus tenellus ",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eclipta prostrata",2,NA,NA,NA,"forb","moderate",NA,NA,"no","herbaceous","medium","low","low","medium"
"IL","Elatine brachysperma",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eleocharis  flavescens",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eleocharis acicularis",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eleocharis elliptica",8,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Eleocharis equisetoides",10,NA,NA,NA,"graminoid","moderate","perennial",NA,"no","herbaceous","low","medium","low","low"
"IL","Eleocharis erythropoda",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eleocharis geniculata",10,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Eleocharis intermedia",7,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Eleocharis obtusa",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eleocharis quadrangulata",6,NA,NA,"c3","graminoid","moderate","perennial",NA,"no","herbaceous","low","medium","low","low"
"IL","Eleocharis quinqueflora",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eleocharis rostellata",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eleocharis tenuis",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eleocharis wolfii",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Elephantopus carolinianus",3,NA,NA,NA,"forb","fast","perennial",NA,"no","herbaceous","low","medium","low","low"
"IL","Ellisia nyctelea",1,NA,NA,NA,"forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Elodea canadensis",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Elodea nuttallii",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Elymus canadensis",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Elymus hystrix",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Elymus lanceolatus",6,NA,NA,"c3","graminoid",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Elymus trachycaulus",8,NA,NA,"c3","graminoid","fast","perennial",NA,"no","herbaceous","low","medium","high","low"
"IL","Elymus villosus",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Elymus virginicus",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Enemion biternatum",5,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Epifagus virginiana",9,NA,NA,NA,"forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Epigaea repens",10,"animal",NA,"c3","shrub",NA,"perennial",NA,NA,"woody",NA,NA,NA,NA
"IL","Epilobium ciliatum",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Epilobium coloratum",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Epilobium leptophyllum",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Epilobium strictum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Equisetum arvense",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Equisetum fluviatile",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Equisetum hyemale ",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Equisetum laevigatum",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Equisetum palustre",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Equisetum pratense",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Equisetum scirpoides",10,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Equisetum sylvaticum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Equisetum variegatum",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Equisetum x ferrissii",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Equisetum x litorale",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Equisetum x nelsonii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Equisetum x mackaii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eragrostis capillaris",5,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Eragrostis frankii",2,NA,NA,NA,"graminoid",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Eragrostis hirsuta",5,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Eragrostis hypnoides",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eragrostis pectinacea",0,"wind",NA,"c4","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Eragrostis spectabilis",3,"wind",NA,"c4","forb","moderate","perennial",NA,"no","herbaceous","low","low","low","low"
"IL","Eragrostis trichodes",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Erechtites hieracifolius",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Erigenia bulbosa",7,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Erigeron annuus",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Erigeron philadelphicus",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Erigeron pulchellus",5,NA,NA,NA,"forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Erigeron strigosus",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eriophorum angustifolium",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eriophorum gracile",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eriophorum tenellum",10,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Eriophorum virginicum",10,NA,NA,NA,"graminoid","moderate","perennial",NA,"no","herbaceous","low","low","low","low"
"IL","Eriophorum viridicarinatum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eryngium prostratum",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eryngium yuccifolium",7,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Erysimum capitatum",7,NA,NA,NA,"forb","fast","perennial",NA,"no","herbaceous","low","medium","low","low"
"IL","Erythronium albidum",4,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Erythronium americanum",7,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Erythronium mesochoreum",9,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Euonymus americanus",10,"animal",NA,NA,"shrub",NA,"perennial",NA,NA,"woody",NA,NA,NA,NA
"IL","Euonymus atropurpureus",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Euonymus obovatus",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eupatorium altissimum",2,"wind",NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Eupatorium perfoliatum",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Eupatorium serotinum",1,NA,NA,NA,"forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Eupatorium sessilifolium",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Euphorbia commutata",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Euphorbia corollata",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Euphorbia cyathophora",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Euphorbia dentata",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Euphorbia geyeri",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Euphorbia glyptosperma",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Euphorbia humistrata",1,NA,NA,"c4","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Euphorbia maculata",0,"multi","seed","c4","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Euphorbia nutans",0,"wind","seed","c4","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Euphorbia polygonifolia",10,NA,NA,"c4","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Euphorbia serpens",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Euphorbia spathulata",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
