"Region","Species","Cscore","SLA_no_pet","SLA_with_pet","LDMC","LeafN","Veg_height","Plant_lifespan_yrs","Seed_dry_mass","Germ_rate","Drought_tol_Mpa","Dispersal_syndrome","Dispersal_unit_type","Photo_pathway","Growth_form","Growth_rate","Plant_lifespan_fac","Propagation_type","Resprout","Woodiness","Drought_tol","Fire_tol","Salt_tol","Shade_tol"
"IL","Apocynum cannabinum",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Apocynum x floribundum",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Aquilegia canadensis",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Arabidopsis lyrata",7,NA,NA,0.153623367217143,NA,0.1975,1,0.176,NA,NA,NA,NA,"c3","forb",NA,"perennial","seed",NA,"herbaceous","low",NA,NA,"low"
"IL","Arabis hirsuta",5,27.0538011695906,NA,0.166,21.66,0.376296296296296,2,0.100473913043478,100,NA,"water","seed","c3","forb",NA,"perennial","seed","no","herbaceous","low","medium",NA,"low"
"IL","Aralia hispida",10,14.2769264595784,NA,0.326866254701057,20.6937916278839,0.3445,NA,4.66606691304348,NA,NA,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Aralia nudicaulis",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Aralia racemosa",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Aralia spinosa",6,13.678698034533,NA,NA,NA,5.28010434782609,NA,6.40190886125933,NA,NA,"animal",NA,"c3","tree","moderate","perennial",NA,"yes","woody","medium","medium","low","medium"
"IL","Arctostaphylos uva-ursi ",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Arisaema dracontium",4,NA,NA,NA,NA,NA,NA,50.115,NA,NA,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Arisaema triphyllum",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Aristida basiramea",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Aristida desmantha",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c4","graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Aristida dichotoma",2,NA,NA,0.65588889641,NA,NA,NA,NA,NA,NA,NA,NA,"c4","graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Aristida longespica",2,NA,NA,NA,NA,0.5,NA,0.348,NA,NA,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Aristida oligantha",0,16.2006058275917,NA,0.61097256858,14.63,NA,NA,2.81,95,NA,NA,NA,"c4","graminoid",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Aristida purpurascens",5,NA,12.67035714,0.510320091744839,NA,0.333207547169811,NA,0.747040677966102,NA,NA,"wind",NA,"c4","graminoid",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Aristida ramosissima",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Aristida tuberculosa",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Aristolochia serpentaria",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Aristolochia serpentaria ",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Aristolochia tomentosa",6,NA,NA,NA,NA,3,NA,29.23,NA,NA,NA,NA,"c3","vine",NA,NA,NA,NA,"woody",NA,NA,NA,NA
"IL","Arnoglossum atriplicifolium",5,NA,NA,NA,NA,151,NA,2.5206,NA,NA,NA,NA,NA,"forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Arnoglossum plantagineum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Arnoglossum reniforme",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Aronia melanocarpa",8,49,NA,NA,16.1428571428571,2.80013333333333,NA,2.15495180978261,NA,NA,"animal",NA,"c3","shrub",NA,"perennial",NA,"no","woody","high","low",NA,"high"
"IL","Aronia X prunifolia",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Artemisia campestris",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Artemisia dracunculus",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Artemisia ludoviciana",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Artemisia serrata",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Aruncus dioicus",7,53.136,32.736,0.203027857142857,NA,0.978125,3.5,0.172857142857143,90,NA,"wind","seed","c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Arundinaria gigantea",5,NA,NA,NA,NA,7.62,NA,NA,NA,NA,NA,NA,"c3","graminoid","fast","perennial",NA,"no","woody","low","medium","low","low"
"IL","Asarum canadense",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asclepias amplexicaulis",7,NA,NA,NA,NA,0.8,NA,10.6,NA,NA,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Asclepias exaltata",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Asclepias hirtella",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asclepias incarnata",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asclepias lanuginosa",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asclepias meadii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asclepias ovalifolia",10,NA,NA,NA,22.4486,NA,NA,4.15,NA,NA,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Asclepias perennis",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asclepias purpurascens",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asclepias quadrifolia",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Asclepias stenophylla",10,11.2676056287245,NA,NA,21.89,NA,NA,NA,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asclepias sullivantii",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asclepias syriaca",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asclepias tuberosa",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asclepias variegata",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asclepias verticillata",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asclepias viridiflora",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asclepias viridis",6,19.9628363325951,15.59299834,0.196447555725588,30.71,0.3166666667,NA,3.71230344827586,NA,NA,"wind",NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Asimina triloba",4,NA,39.9536183446562,0.19647052622325,NA,9.66986666666667,80,766.449282825699,NA,NA,"animal",NA,"c3","tree","slow","perennial",NA,"yes","woody","high","medium","low","high"
"IL","Asplenium bradleyi",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asplenium pinnatifidum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asplenium platyneuron",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Asplenium resiliens",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Asplenium rhizophyllum",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asplenium ruta-muraria",10,12.4333333333333,NA,0.292333333333333,NA,0.102222222222222,NA,NA,NA,NA,"wind","spore","c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Asplenium trichomanes",10,19.4421574245127,NA,0.337,31.2,0.185882352941176,40,NA,NA,NA,"wind","spore","c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,"low",NA,NA
"IL","Asplenium x ebenoides",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asplenium x gravesii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asplenium x herb-wagneri",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asplenium x kentuckiense",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asplenium x shawneense",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Asplenium x trudellii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Astragalus canadensis",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Astragalus crassicarpus ",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Astragalus distortus",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Astragalus tennesseensis",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Athyrium filix-femina",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Aureolaria flava",8,NA,NA,NA,NA,1.5,NA,0.43,NA,NA,NA,NA,NA,"forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Aureolaria grandiflora",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Aureolaria pedicularia ",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Azolla cristata",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Bacopa rotundifolia",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Baptisia lactea",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Baptisia leucophaea",9,NA,10.6269925611052,NA,35.9,1,NA,NA,NA,NA,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Baptisia tinctoria ",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Bartonia paniculata",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Bartonia virginica",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Beckmannia syzigachne",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Berberis canadensis",10,NA,NA,NA,NA,NA,NA,8.83,NA,NA,NA,NA,NA,"shrub",NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Berchemia scandens",5,NA,NA,0.50107919287,15.9,NA,NA,45.49,NA,NA,NA,NA,"c3","vine",NA,"perennial",NA,NA,"woody",NA,NA,NA,NA
"IL","Bergia texana",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Berula erecta",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Betula alleghaniensis",10,41.4080709445291,NA,0.27807020546489,24.0963919738038,2.92529431988789,298,1.39846402528363,NA,NA,"wind",NA,"c3","tree","fast","perennial",NA,"yes","woody","medium","low","medium","medium"
"IL","Betula nigra",4,NA,NA,NA,21.475,23.8212947368421,175,1.1988726441582,NA,NA,"wind",NA,"c3","tree","fast","perennial",NA,"yes","woody","low","medium","low","low"
"IL","Betula papyrifera",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Betula pumila",10,NA,NA,NA,16.3846153846154,4.73066666666667,NA,0.308155379468399,100,NA,"wind",NA,"c3","shrub","moderate","perennial",NA,"no","woody","low","low","low","low"
"IL","Bidens aristosa",1,NA,NA,NA,NA,1.0334,NA,2.35118350055741,NA,NA,NA,NA,NA,"forb","fast",NA,NA,"no","herbaceous","medium","low","low","medium"
"IL","Bidens beckii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Bidens cernua",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Bidens connata",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Bidens discoidea",6,NA,NA,NA,NA,1.09248,NA,4.74383500557414,NA,NA,NA,NA,NA,"forb","fast","annual",NA,"no","herbaceous","medium","low","low","medium"
"IL","Bidens frondosa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Bidens trichosperma",7,NA,NA,NA,NA,1.03632,NA,3.35197642936773,NA,NA,NA,NA,NA,"forb","fast","annual",NA,"no","herbaceous","medium","low","low","medium"
"IL","Bidens tripartita",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Bidens vulgata",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Bignonia capreolata",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c3","vine",NA,NA,NA,NA,"woody",NA,NA,NA,NA
"IL","Blephilia ciliata",6,NA,21.27921569,0.233483865566207,NA,0.326,NA,NA,NA,NA,"wind",NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Blephilia hirsuta",5,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,"forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Boechera canadensis",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Boechera dentata",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Boechera divaricarpa",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Boechera laevigata",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Boechera stricta",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Boehmeria cylindrica",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Bolboschoenus fluviatilis",3,10.0806451612903,NA,NA,29.69,1.75584,NA,5.77333333333333,NA,NA,NA,NA,"c3","graminoid","moderate","perennial",NA,"no","herbaceous","low","medium","low","low"
"IL","Bolboschoenus maritimus",4,14.3153116118365,12.408,0.280332857142857,NA,0.802305454545455,NA,2.62504545454545,78,NA,"water","seed","c3","graminoid","moderate","perennial",NA,"no","herbaceous","low","medium","medium","low"
"IL","Boltonia asteroides",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Boltonia decurrens",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Boltonia diffusa",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Botrychium biternatum",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Botrychium dissectum",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Botrychium matricariifolium ",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Botrychium multifidum",10,NA,NA,NA,NA,0.1625,NA,NA,NA,NA,NA,"spore","c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Botrychium oneidense",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Botrychium simplex",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Botrychium virginianum",4,NA,NA,NA,NA,0.457388571428571,NA,NA,NA,NA,NA,"spore","c3","forb","moderate","perennial",NA,"no","herbaceous","high","medium","low","high"
"IL","Bouteloua curtipendula",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Bouteloua gracilis",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Bouteloua hirsuta",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Brachyelytrum erectum",7,NA,NA,NA,NA,NA,NA,6.55,NA,NA,NA,NA,"c3","graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Brasenia schreberi",7,NA,NA,NA,NA,NA,NA,6.80261431436278,NA,NA,"water",NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Brickellia eupatorioides",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Bromus ciliatus",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Bromus kalmii",10,35.6,NA,0.375681455312,NA,1.0786,NA,2.27340043736484,NA,NA,NA,NA,"c3","forb","fast","perennial",NA,"no","herbaceous","high","medium","low","high"
"IL","Bromus nottowayanus",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Bromus pubescens",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Buchnera americana",10,NA,21.77036946,0.212277343139286,NA,0.277641509433962,NA,0.018,NA,NA,"wind",NA,"c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Bulbostylis capillaris",4,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,"c4","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cabomba caroliniana",8,NA,NA,NA,NA,NA,NA,1.1036708093872,NA,NA,NA,NA,"c3","forb","fast","perennial",NA,"no","herbaceous","medium","high","low","medium"
"IL","Cakile edentula ",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Calamagrostis canadensis",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Calamagrostis stricta",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Calamovilfa longifolia",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Calla palustris",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Callirhoe alcaeoides",5,12.8571428571428,NA,NA,20.91,NA,NA,8.09,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Callirhoe triangulata",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Callitriche heterophylla",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Callitriche palustris",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Callitriche terrestris",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Calopogon tuberosus",10,NA,NA,NA,NA,0.4,NA,0.004,NA,NA,NA,NA,NA,"forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Caltha palustris",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Calycocarpum lyonii",7,NA,NA,NA,NA,9.144,NA,NA,NA,NA,NA,NA,"c3","vine","fast","perennial",NA,"yes","semi-woody","high","low","low","high"
"IL","Calystegia sepium",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Calystegia spithamaea",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Camassia angusta",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Camassia scilloides",7,NA,18.53394969,0.210648148,NA,0.211185185185185,NA,5.36104678392982,NA,NA,"wind",NA,"c3","forb","moderate","perennial",NA,"no","herbaceous","high","medium","low","high"
"IL","Campanula americana",4,46.2962962962963,51.31,0.156,29.6033333333333,1.9144,NA,0.217636175418784,NA,NA,NA,NA,"c3","forb","fast","annual",NA,"no","herbaceous","high","low","low","high"
"IL","Campanula aparinoides",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Campanula rotundifolia",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Campsis radicans",2,NA,15.2796509581569,0.343971215582854,18.75,1.35480882352941,NA,4.04120095629222,NA,NA,"wind",NA,"c3","forb","fast","perennial",NA,"yes","woody","low","medium","low","low"
"IL","Cardamine bulbosa",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL","Cardamine diphylla",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"IL","Cardamine douglassii",6,NA,NA,NA,NA,0.3524,NA,0.482322061191626,NA,NA,NA,NA,NA,"forb","moderate","perennial",NA,"no","herbaceous","high","medium","low","high"
